id,RhythmScore,AudioLoudness,VocalContent,AcousticQuality,InstrumentalScore,LivePerformanceLikelihood,MoodScore,TrackDurationMs,Energy,BeatsPerMinute
0,0.603609719,-7.636942085,0.0235,5.36e-06,1.07e-06,0.051385456,0.409866259,290715.645,0.826266667,147.5302
1,0.639451219,-16.26759827,0.071519503,0.444929072,0.349414237,0.170522335,0.651010252,164519.5174,0.1454,136.15963
2,0.514537839,-15.95357513,0.11071451,0.173698645,0.453814246,0.029575596,0.42386496,174495.5667,0.624666667,55.31989
3,0.734462607,-1.357,0.052964628,0.001650837,0.159717235,0.086365902,0.278745202,225567.4651,0.487466667,147.91212
4,0.532968486,-13.05643748,0.0235,0.068686967,1.07e-06,0.331345291,0.477769101,213960.6789,0.947333333,89.58511
5,0.594579309,-11.71543059,0.101701221,5.36e-06,0.259634167,0.0243,0.639254473,161012.2221,0.938333333,151.43602
6,0.714958398,-8.809725131,0.0235,0.471139419,1.07e-06,0.35677504,0.724783195,243432.5794,0.3368,151.63439
7,0.70372641,-10.48261038,0.037751371,0.115726719,1.07e-06,0.0243,0.773899412,293848.8919,0.722,123.31545
8,0.455597813,-1.357,0.162536515,0.173625884,1.07e-06,0.288464871,0.651136588,271215.8237,0.947266667,133.59806
9,0.431497856,-5.935424676,0.0235,0.439564877,0.184462385,0.114921488,0.0256,222030.4794,0.950866667,117.3979
10,0.64832654,-6.28178649,0.080158906,0.129619308,0.132922966,0.274746023,0.715141366,258404.0353,0.3594,131.35937
11,0.510434991,-6.819409182,0.110512747,0.124467155,0.04233917,0.371489605,0.0256,243868.4922,0.739266667,132.55244
12,0.744159825,-10.71677329,0.053340952,0.420525242,1.07e-06,0.056636795,0.978,153071.0495,0.058266667,137.28701
13,0.554931739,-1.357,0.0235,0.717685563,0.263840495,0.226782202,0.446522148,272376.696,0.4416,143.72538
14,0.642559152,-1.357,0.043926083,0.494929893,0.263657896,0.258467758,0.48759785,208862.8859,0.879266667,145.92435
15,0.461757197,-9.095549711,0.061913697,0.347826938,1.07e-06,0.0243,0.484563262,221432.5792,0.904666667,119.94727
16,0.603939248,-1.357,0.084499316,0.879365145,0.069489249,0.0243,0.456734251,308900.6612,0.735666667,151.17802
17,0.529630728,-1.357,0.120715498,0.290917845,0.037863339,0.289521784,0.340016372,243347.5908,0.472466667,95.88081
18,0.817259729,-1.357,0.119915911,0.148957681,1.07e-06,0.23652643,0.681689125,253062.5039,0.847333333,103.4832
19,0.652836301,-8.176577506,0.05380079,0.247029828,1.07e-06,0.262854197,0.650135229,297517.9644,0.557533333,86.07513
20,0.463271719,-6.420830583,0.059131958,0.519978345,1.07e-06,0.0243,0.445028238,288884.0258,0.291733333,148.24284
21,0.756698721,-9.914125575,0.087104509,0.060965131,0.130912054,0.07802927,0.978,213567.5014,0.114733333,145.20788
22,0.481375288,-3.694632432,0.12488872,5.36e-06,0.305536132,0.0243,0.529908215,272369.0754,0.9104,80.24409
23,0.561267104,-12.50404513,0.042758008,0.488023667,0.11689948,0.242983708,0.715175035,228063.2083,0.1738,121.66038
24,0.633097921,-9.457970102,0.062199581,0.288957371,0.049282463,0.174526195,0.534405971,210818.5707,0.517466667,152.61827
25,0.441267239,-8.772619103,0.0235,0.624983339,1.07e-06,0.166039838,0.669627897,268862.2378,0.008933333,143.18457
26,0.432989062,-3.982800142,0.098362463,0.638121225,0.163626462,0.0243,0.681516954,182271.0098,0.786466667,120.60487
27,0.6965509,-15.58508275,0.052939932,5.36e-06,0.254565211,0.316616947,0.978,172996.3794,0.7608,94.4265
28,0.469942026,-13.83627091,0.073653452,0.161786141,0.14058479,0.071528721,0.65760055,242414.2431,0.391066667,117.07434
29,0.634357971,-8.551718803,0.0235,0.040058505,0.308810583,0.229738791,0.93439892,255529.6665,0.6578,86.68904
30,0.660715284,-3.360098597,0.034467603,0.130167371,0.059867514,0.286449138,0.494813951,250415.6561,0.3624,131.5766
31,0.611170798,-14.83769425,0.137989297,0.254898018,1.07e-06,0.221824254,0.642358123,228342.0012,0.183066667,89.0468
32,0.686690996,-1.357,0.111152955,0.24491598,1.07e-06,0.382321509,0.567371128,223931.3706,0.315866667,159.6458
33,0.626073272,-11.85634987,0.120311647,0.352264893,0.042709542,0.435719508,0.648722896,225992.3325,0.068866667,137.98394
34,0.786629309,-7.090973073,0.097355102,5.36e-06,1.07e-06,0.059998398,0.464529046,132735.5349,0.7022,93.82487
